Year,country,val,indicator,yaxis,valper2,color
1960,Afghanistan,,born_male,0,,red
1960,Albania,,born_male,0,,red
1960,Algeria,,born_male,0,,red
1960,Angola,,born_male,0,,red
1960,Argentina,,born_male,0,,red
1960,Armenia,,born_male,0,,red
1960,Australia,,born_male,0,,red
1960,Austria,,born_male,0,,red
1960,Azerbaijan,,born_male,0,,red
1960,Bangladesh,,born_male,0,,red
1960,Belarus,,born_male,0,,red
1960,Belgium,,born_male,0,,red
1960,Belize,,born_male,0,,red
1960,Benin,,born_male,0,,red
1960,Bhutan,,born_male,0,,red
1960,Bolivia,,born_male,0,,red
1960,Botswana,,born_male,0,,red
1960,Brazil,,born_male,0,,red
1960,Bulgaria,,born_male,0,,red
1960,Burkina Faso,,born_male,0,,red
1960,Burundi,,born_male,0,,red
1960,Cambodia,,born_male,0,,red
1960,Cameroon,,born_male,0,,red
1960,Canada,,born_male,0,,red
1960,Chad,,born_male,0,,red
1960,Chile,,born_male,0,,red
1960,China,,born_male,0,,red
1960,Colombia,,born_male,0,,red
1960,Costa Rica,,born_male,0,,red
1960,Croatia,,born_male,0,,red
1960,Cuba,,born_male,0,,red
1960,Cyprus,,born_male,0,,red
1960,Denmark,,born_male,0,,red
1960,Djibouti,,born_male,0,,red
1960,Ecuador,,born_male,0,,red
1960,El Salvador,,born_male,0,,red
1960,Eritrea,,born_male,0,,red
1960,Estonia,,born_male,0,,red
1960,Ethiopia,,born_male,0,,red
1960,Fiji,,born_male,0,,red
1960,Finland,,born_male,0,,red
1960,France,,born_male,0,,red
1960,Gabon,,born_male,0,,red
1960,Georgia,,born_male,0,,red
1960,Germany,,born_male,0,,red
1960,Ghana,,born_male,0,,red
1960,Greece,,born_male,0,,red
1960,Greenland,,born_male,0,,red
1960,Guatemala,,born_male,0,,red
1960,Guinea,,born_male,0,,red
1960,Guinea-Bissau,,born_male,0,,red
1960,Guyana,,born_male,0,,red
1960,Haiti,,born_male,0,,red
1960,Honduras,,born_male,0,,red
1960,Hungary,,born_male,0,,red
1960,Iceland,,born_male,0,,red
1960,India,,born_male,0,,red
1960,Indonesia,,born_male,0,,red
1960,Iraq,,born_male,0,,red
1960,Ireland,,born_male,0,,red
1960,Israel,,born_male,0,,red
1960,Italy,,born_male,0,,red
1960,Jamaica,,born_male,0,,red
1960,Japan,,born_male,0,,red
1960,Jordan,,born_male,0,,red
1960,Kazakhstan,,born_male,0,,red
1960,Kenya,,born_male,0,,red
1960,Kuwait,,born_male,0,,red
1960,Latvia,,born_male,0,,red
1960,Lebanon,,born_male,0,,red
1960,Lesotho,,born_male,0,,red
1960,Liberia,,born_male,0,,red
1960,Libya,,born_male,0,,red
1960,Lithuania,,born_male,0,,red
1960,Luxembourg,,born_male,0,,red
1960,Madagascar,,born_male,0,,red
1960,Malawi,,born_male,0,,red
1960,Malaysia,,born_male,0,,red
1960,Mali,,born_male,0,,red
1960,Mauritania,,born_male,0,,red
1960,Mexico,,born_male,0,,red
1960,Moldova,,born_male,0,,red
1960,Mongolia,,born_male,0,,red
1960,Montenegro,,born_male,0,,red
1960,Morocco,,born_male,0,,red
1960,Mozambique,,born_male,0,,red
1960,Myanmar,,born_male,0,,red
1960,Namibia,,born_male,0,,red
1960,Nepal,,born_male,0,,red
1960,Netherlands,,born_male,0,,red
1960,New Caledonia,,born_male,0,,red
1960,New Zealand,,born_male,0,,red
1960,Nicaragua,,born_male,0,,red
1960,Niger,,born_male,0,,red
1960,Nigeria,,born_male,0,,red
